,name,gender,country,disciplines,events
0,ALEKSANYAN Artur,Male,Armenia,Wrestling,Mens Greco-Roman 97kg
1,AMOYAN Malkhas,Male,Armenia,Wrestling,Mens Greco-Roman 77kg
2,GALSTYAN Slavik,Male,Armenia,Wrestling,Mens Greco-Roman 67kg
3,HARUTYUNYAN Arsen,Male,Armenia,Wrestling,Mens Freestyle 57kg
4,TEVANYAN Vazgen,Male,Armenia,Wrestling,Mens Freestyle 65kg
5,ARENAS Lorena,Female,Colombia,Athletics,Womens 20km Race Walk
6,ARENAS Lorena,Female,Colombia,Athletics,Marathon Race Walk Relay Mixed
7,McKENZIE Ashley,Male,Jamaica,Judo,Men -60 kg
8,BASS BITTAYE Gina Mariam,Female,Gambia,Athletics,Womens 100m
9,BASS BITTAYE Gina Mariam,Female,Gambia,Athletics,Womens 200m
10,CAMARA Ebrahima,Male,Gambia,Athletics,Mens 100m
11,RUEDA SANTOS Lizeth,Female,Mexico,Triathlon,Womens Individual
12,TAPIA VIDAL Rosa Maria,Female,Mexico,Triathlon,Womens Individual
13,GRAJALES Crisanto,Male,Mexico,Triathlon,Mens Individual
14,MAAROUFOU Hachim,Male,Comoros,Athletics,Mens 100m
15,SAADI Maesha,Female,Comoros,Swimming,Womens 50m Freestyle
16,DIOSDADO Nuria,Female,Mexico,Artistic Swimming,Team
17,DIOSDADO Nuria,Female,Mexico,Artistic Swimming,Duet
18,JIMENEZ Joana,Female,Mexico,Artistic Swimming,Team
19,JIMENEZ Joana,Female,Mexico,Artistic Swimming,Duet
20,SOBRINO Jessica,Female,Mexico,Artistic Swimming,Team
21,ALFEREZ Regina,Female,Mexico,Artistic Swimming,Team
22,ARELLANO Fernanda,Female,Mexico,Artistic Swimming,Team
23,TOSCANO Pamela,Female,Mexico,Artistic Swimming,Team
24,GONZALEZ Itzamary,Female,Mexico,Artistic Swimming,Team
25,RODRIGUEZ Samanta,Female,Mexico,Artistic Swimming,Team
26,INZUNZA Glenda,Female,Mexico,Artistic Swimming,Team
27,SEHEN Sajjad,Male,Iraq,Judo,Men -81 kg
28,RUBAIAWI Ali Ammar Yusur,Male,Iraq,Weightlifting,Mens +102kg
29,ISMAIL Mohamed,Male,Djibouti,Athletics,Mens 5000m
30,HASSAN Ibrahim,Male,Djibouti,Athletics,Mens Marathon
31,WAISS Abdi,Male,Djibouti,Athletics,Mens 5000m
32,HASSAN NOUR Samiyah,Female,Djibouti,Athletics,Womens 5000m
33,HOUSSEIN BARKAT Houmed,Male,Djibouti,Swimming,Mens 50m Freestyle
34,BARAT Andy,Male,Comoros,Canoe Slalom,Mens Kayak Single
35,BARAT Andy,Male,Comoros,Canoe Slalom,Mens Kayak Cross
36,MARTINEZ RAMIREZ Miguel Angel,Male,Mexico,Boxing,Mens 63.5kg
37,VERDE ALVAREZ Marco Alonso,Male,Mexico,Boxing,Mens 71kg
38,GONZALEZ Alegna,Female,Mexico,Athletics,Womens 20km Race Walk
39,GONZALEZ Alegna,Female,Mexico,Athletics,Marathon Race Walk Relay Mixed
40,LOPEZ Jesus Tonatiu,Male,Mexico,Athletics,Mens 800m
41,PORTILLO Erick,Male,Mexico,Athletics,Mens High Jump
42,MUNOZ Uziel,Male,Mexico,Athletics,Mens Shot Put
43,del REAL Diego,Male,Mexico,Athletics,Mens Hammer Throw
44,DOCTOR Jose Luis,Male,Mexico,Athletics,Mens 20km Race Walk
45,MORAN Paola,Female,Mexico,Athletics,Womens 400m
46,GALVAN Laura,Female,Mexico,Athletics,Womens 5000m
47,CORTES Alma Delia,Female,Mexico,Athletics,Womens 5000m
48,CRISTIAN MOSCOTE Citlali,Female,Mexico,Athletics,Womens Marathon
49,PALMA OLIVARES Ever Jair,Male,Mexico,Athletics,Marathon Race Walk Relay Mixed
50,OETLING RAMIREZ Elena,Female,Mexico,Sailing,Womens Dinghy
51,AGUILAR CHAVEZ PEON Mariana,Female,Mexico,Sailing,Womens Windsurfing
52,LECHUGA ALANIS Kenia,Female,Mexico,Rowing,Womens Single Sculls
53,LOPEZ GARCIA Alexis,Male,Mexico,Rowing,Lightweight Mens Double Sculls
54,CARBALLO NIETO Miguel,Male,Mexico,Rowing,Lightweight Mens Double Sculls
55,BLANCO Luisa,Female,Colombia,Artistic Gymnastics,Women
56,BLANCO Luisa,Female,Colombia,Artistic Gymnastics,Womens All-Around
57,BLANCO Luisa,Female,Colombia,Artistic Gymnastics,Womens Balance Beam
58,BLANCO Luisa,Female,Colombia,Artistic Gymnastics,Womens Floor Exercise
59,BLANCO Luisa,Female,Colombia,Artistic Gymnastics,Womens Uneven Bars
60,BLANCO Luisa,Female,Colombia,Artistic Gymnastics,Womens Vault
61,WILLARS VALDEZ Randal,Male,Mexico,Diving,Mens 10m Platform
62,WILLARS VALDEZ Randal,Male,Mexico,Diving,Mens Synchronised 10m Platform
