,code,name,gender,country_x,discipline,event,age,medal_type,team_code,num_athletes
0,1532872,ALEKSANYAN Artur,Male,Armenia,Wrestling,Mens Greco-Roman 97kg,33,Silver Medal,,
1,1532873,AMOYAN Malkhas,Male,Armenia,Wrestling,Mens Greco-Roman 77kg,25,Bronze Medal,,
37,1535187,VERDE ALVAREZ Marco Alonso,Male,Mexico,Boxing,Mens 71kg,22,Silver Medal,,
69,1535349,OLVERA IBARRA Osmar,Male,Mexico,Diving,Mens 3m Springboard,20,Bronze Medal,,
70,1535349,OLVERA IBARRA Osmar,Male,Mexico,Diving,Mens Synchronised 3m Springboard,20,Silver Medal,DIVM3MTEAM2-MEX01,2.0
108,1535420,VALENCIA Alejandra,Female,Mexico,Archery,Womens Team,30,Bronze Medal,ARCWTEAM3---MEX01,3.0
111,1535429,RUIZ Angela,Female,Mexico,Archery,Womens Team,18,Bronze Medal,ARCWTEAM3---MEX01,3.0
134,1535513,RENTERIA RENTERIA Tatiana,Female,Colombia,Wrestling,Womens Freestyle 76kg,24,Bronze Medal,,
147,1535852,MAEDER Maximilian,Male,Singapore,Sailing,Mens Kite,18,Bronze Medal,,
170,1536045,SALIMI Arian,Male,IR Iran,Taekwondo,Men +80kg,21,Gold Medal,,
171,1536058,BARKHORDARI Mehran,Male,IR Iran,Taekwondo,Men -80kg,24,Silver Medal,,
172,1536064,NEMATZADEH Mobina,Female,IR Iran,Taekwondo,Women -49kg,19,Bronze Medal,,
173,1536067,KIYANICHANDEH Nahid,Female,IR Iran,Taekwondo,Women -57kg,26,Silver Medal,,
179,1536197,CELAYA HERNANDEZ Juan Manuel,Male,Mexico,Diving,Mens Synchronised 3m Springboard,26,Silver Medal,DIVM3MTEAM2-MEX01,2.0
195,1536479,VAZQUEZ Ana,Female,Mexico,Archery,Womens Team,24,Bronze Medal,ARCWTEAM3---MEX01,3.0
201,1536498,DUGUMA Tsige,Female,Ethiopia,Athletics,Womens 800m,23,Silver Medal,,
218,1536885,RICKETTS Shanieka,Female,Jamaica,Athletics,Womens Triple Jump,32,Silver Medal,,
254,1537183,CAMACHO-QUINN Jasmine,Female,Puerto Rico,Athletics,Womens 100m Hurdles,28,Bronze Medal,,
257,1537188,RIVERA Sebastian C,Male,Puerto Rico,Wrestling,Mens Freestyle 65kg,26,Bronze Medal,,
270,1537287,AWITI ALCARAZ Prisca,Female,Mexico,Judo,Women -63 kg,28,Silver Medal,,
273,1537325,ALFRED Julien,Female,Saint Lucia,Athletics,Womens 100m,23,Gold Medal,,
274,1537325,ALFRED Julien,Female,Saint Lucia,Athletics,Womens 200m,23,Silver Medal,,
288,1537401,KAREEM Zaid,Male,Jordan,Taekwondo,Men -68kg,23,Silver Medal,,
309,1538028,BOSCO Eugenia,Female,Argentina,Sailing,Mixed Multihull,27,Silver Medal,SALXNACRA17-ARG01,2.0
311,1538041,MAJDALANI Mateo,Male,Argentina,Sailing,Mixed Multihull,30,Silver Medal,SALXNACRA17-ARG01,2.0
316,1538084,KUSALE Swapnil,Male,India,Shooting,50m Rifle 3 Positions Men,29,Bronze Medal,,
333,1538159,BHAKER Manu,Female,India,Shooting,10m Air Pistol Women,22,Bronze Medal,,
335,1538159,BHAKER Manu,Female,India,Shooting,10m Air Pistol Mixed Team,22,Bronze Medal,SHOXAPMT----IND01,2.0
336,1538160,ZALATY Yauheni,Male,AIN,Rowing,Mens Single Sculls,25,Silver Medal,,
344,1538244,ALBERTARRIO Agustina,Female,Argentina,Hockey,Women,31,Bronze Medal,HOCWTEAM11--ARG01,16.0
345,1538253,ALONSO Agostina,Female,Argentina,Hockey,Women,29,Bronze Medal,HOCWTEAM11--ARG01,16.0
346,1538260,CAMPOY Maria,Female,Argentina,Hockey,Women,34,Bronze Medal,HOCWTEAM11--ARG01,16.0
347,1538261,CAIRO Sofia,Female,Argentina,Hockey,Women,22,Bronze Medal,HOCWTEAM11--ARG01,16.0
348,1538262,CASAS Lara,Female,Argentina,Hockey,Women,20,Bronze Medal,HOCWTEAM11--ARG01,16.0
349,1538263,CASTELLARO MORELLO Juana,Female,Argentina,Hockey,Women,19,Bronze Medal,HOCWTEAM11--ARG01,16.0
350,1538266,COSENTINO Cristina,Female,Argentina,Hockey,Women,27,Bronze Medal,HOCWTEAM11--ARG01,16.0
351,1538274,GORZELANY Agustina,Female,Argentina,Hockey,Women,28,Bronze Medal,HOCWTEAM11--ARG01,16.0
352,1538276,GRANATTO Maria,Female,Argentina,Hockey,Women,29,Bronze Medal,HOCWTEAM11--ARG01,16.0
353,1538277,JANKUNAS Julieta,Female,Argentina,Hockey,Women,25,Bronze Medal,HOCWTEAM11--ARG01,16.0
